Gene	N
ENSG00000010818	30995.0775193798
ENSG00000011007	30782.7364341085
ENSG00000011009	30246.0775193798
ENSG00000011021	30995.0775193798
ENSG00000011028	30995.0775193798
ENSG00000011105	30990.609375
ENSG00000011114	30995.0775193798
ENSG00000011132	31068.109375
ENSG00000011143	30782.7364341085
ENSG00000011198	30995.0775193798
ENSG00000011201	9047.50387596899
ENSG00000011243	14077.408
ENSG00000011258	30615.3178294574
ENSG00000011260	14043.8217054264
ENSG00000011275	30995.0775193798
ENSG00000011295	30782.7364341085
ENSG00000011304	25799.40625
ENSG00000011376	30716.6953125
ENSG00000011405	25518.375
ENSG00000011422	30819.9365079365
ENSG00000011426	30995.0775193798
ENSG00000011451	14266.752
ENSG00000011454	30777.375
ENSG00000011478	30283.2380952381
ENSG00000011485	31032.2380952381
ENSG00000011523	25998.7596899225
ENSG00000011566	14043.8217054264
ENSG00000011590	30992.6953125
ENSG00000011600	30992.6953125
ENSG00000011638	30781.265625
ENSG00000012048	30995.0775193798
ENSG00000012061	30819.9365079365
ENSG00000012124	30992.6953125
ENSG00000012171	30771.9133858268
ENSG00000012174	9047.50387596899
ENSG00000012211	9047.50387596899
ENSG00000012223	30989.6953125
ENSG00000012232	30995.0775193798
ENSG00000012660	30992.6953125
ENSG00000012779	30995.0775193798
ENSG00000012817	9047.50387596899
ENSG00000012822	30988.1653543307
ENSG00000012963	30995.0775193798
ENSG00000012983	30995.0775193798
ENSG00000013016	30995.0775193798
ENSG00000013275	30951.21875
ENSG00000013288	30995.0775193798
ENSG00000013306	30782.7364341085
ENSG00000013364	31026.7142857143
ENSG00000013374	30613.3125
ENSG00000013375	30782.7364341085
ENSG00000013392	30995.0775193798
ENSG00000013441	30989.6953125
ENSG00000013503	30995.0775193798
ENSG00000013523	25994.453125
ENSG00000013561	30033.7364341085
ENSG00000013563	9047.50387596899
ENSG00000013573	25786.4186046512
ENSG00000013583	25998.7596899225
ENSG00000013619	9047.50387596899
ENSG00000013725	30984.2283464567
ENSG00000013810	14043.8217054264
ENSG00000014123	24870.7421875
ENSG00000014138	30978.6746031746
ENSG00000014164	30782.7364341085
ENSG00000014216	30978.6746031746
ENSG00000014257	30989.6953125
ENSG00000014641	14040.3700787402
ENSG00000014824	30243.6953125
ENSG00000014914	30995.0775193798
ENSG00000014919	30995.0775193798
ENSG00000015133	25520.6511627907
ENSG00000015153	30782.7364341085
ENSG00000015171	30615.3178294574
ENSG00000015285	9047.50387596899
ENSG00000015475	30782.7364341085
ENSG00000015479	30782.7364341085
ENSG00000015520	28758.4296875
ENSG00000015532	30995.0775193798
ENSG00000015676	30990.359375
ENSG00000016391	25510.0157480315
ENSG00000016864	25989.1496062992
ENSG00000017260	30995.0775193798
ENSG00000017373	11811.7364341085
ENSG00000017427	30782.7364341085
ENSG00000017483	9047.50387596899
ENSG00000017621	9047.50387596899
ENSG00000017797	30995.0775193798
ENSG00000018189	30995.0775193798
ENSG00000018280	30995.0775193798
ENSG00000018408	30083.2015503876
ENSG00000018510	30777.3671875
ENSG00000018610	9047.50387596899
ENSG00000018699	30721.2170542636
ENSG00000018869	30995.0775193798
ENSG00000019102	30995.0775193798
ENSG00000019144	30990.59375
ENSG00000019169	30995.0775193798
ENSG00000019186	29745.15625
ENSG00000019485	30608.2519685039
ENSG00000019582	30778.265625
ENSG00000019991	30646.4375
ENSG00000019995	30989.6953125
ENSG00000020129	30782.7364341085
ENSG00000020181	30995.0775193798
ENSG00000020256	30777.3671875
ENSG00000020426	25037.4186046512
ENSG00000020577	14043.8217054264
ENSG00000020633	30995.0775193798
ENSG00000020922	25998.7596899225
ENSG00000021300	30995.0775193798
ENSG00000021355	30995.0775193798
ENSG00000021488	30178.2677165354
ENSG00000021574	30955.6976744186
ENSG00000021762	30782.7364341085
ENSG00000021776	30782.7364341085
ENSG00000021826	29453.78125
ENSG00000022267	14043.8217054264
ENSG00000022277	25082.171875
ENSG00000022556	30782.7364341085
ENSG00000022567	30615.3178294574
ENSG00000022840	31008.5
ENSG00000022976	30944.8582677165
ENSG00000023041	30028.3671875
ENSG00000023171	25520.6511627907
ENSG00000023191	30995.0775193798
ENSG00000023228	25998.7596899225
ENSG00000023287	25998.7596899225
ENSG00000023318	30955.6976744186
ENSG00000023330	30771.9133858268
ENSG00000023445	30995.0775193798
ENSG00000023516	30955.6976744186
ENSG00000023572	30782.7364341085
ENSG00000023608	30955.6976744186
ENSG00000023697	30995.0775193798
ENSG00000023734	30995.0775193798
ENSG00000023839	30782.7364341085
ENSG00000023892	30032.3307086614
ENSG00000023902	25993.9921875
ENSG00000023909	30951.21875
ENSG00000024048	14043.8217054264
ENSG00000024422	31032.2380952381
ENSG00000024526	29592.546875
ENSG00000024862	30995.0775193798
ENSG00000025039	30995.0775193798
ENSG00000025156	30778.265625
ENSG00000025293	30995.0775193798
ENSG00000025423	27495.2578125
ENSG00000025434	30987.2519685039
ENSG00000025708	25786.4186046512
ENSG00000025770	30995.0775193798
ENSG00000025772	30995.0775193798
ENSG00000025796	30778.265625
ENSG00000025800	30782.7364341085
ENSG00000026025	14042.109375
ENSG00000026036	29538.1007751938
ENSG00000026103	30246.0775193798
ENSG00000026297	25994.890625
ENSG00000026508	30995.0775193798
ENSG00000026559	30777.3671875
ENSG00000026652	30990.59375
ENSG00000026751	30995.0775193798
ENSG00000026950	30990.59375
ENSG00000027001	30995.0775193798
ENSG00000027075	30995.0775193798
ENSG00000027697	30995.0775193798
ENSG00000027847	30995.0775193798
ENSG00000027869	30777.3671875
ENSG00000028116	25993.0787401575
ENSG00000028137	30995.0775193798
ENSG00000028203	30782.7364341085
ENSG00000028277	30819.9365079365
ENSG00000028310	30995.0775193798
ENSG00000028528	30989.6953125
ENSG00000028839	14042.109375
ENSG00000029153	30083.2015503876
ENSG00000029363	30778.265625
ENSG00000029364	30995.0775193798
ENSG00000029534	30995.0775193798
ENSG00000029639	30782.7364341085
ENSG00000029725	30989.6953125
ENSG00000029993	9047.50387596899
ENSG00000030066	30987.2519685039
ENSG00000030110	14045.8582677165
ENSG00000030419	30989.6953125
ENSG00000030582	30995.0775193798
ENSG00000031003	30995.0775193798
ENSG00000031081	25724.8992248062
ENSG00000031691	30992.6953125
ENSG00000031698	30787.6850393701
ENSG00000031823	30855.78125
ENSG00000032219	30995.0775193798
ENSG00000032389	30777.3671875
ENSG00000032444	31068.109375
ENSG00000032742	30995.0775193798
ENSG00000033011	28364.265625
ENSG00000033030	30796.171875
ENSG00000033050	30992.6953125
ENSG00000033100	30992.6953125
ENSG00000033122	18351.1338582677
ENSG00000033170	30995.0775193798
ENSG00000033178	30995.0775193798
ENSG00000033327	30995.0775193798
ENSG00000033627	30995.0775193798
ENSG00000033800	30984.2283464567
ENSG00000033867	30777.375
ENSG00000034053	30995.0775193798
ENSG00000034063	11383.859375
ENSG00000034152	30782.7364341085
ENSG00000034239	30662.3178294574
ENSG00000034510	14043.8217054264
ENSG00000034533	30995.0775193798
ENSG00000034677	30508.8759689922
ENSG00000034693	30782.7364341085
ENSG00000034713	30955.6976744186
ENSG00000035115	30989.6953125
ENSG00000035141	30995.0775193798
ENSG00000035403	30995.0775193798
ENSG00000035499	30782.7364341085
ENSG00000035664	30777.3671875
ENSG00000035681	30995.0775193798
ENSG00000035687	30033.7364341085
ENSG00000035720	25732.992248062
ENSG00000035862	25781.6640625
ENSG00000035928	30782.7364341085
ENSG00000036054	14043.8217054264
ENSG00000036257	30246.0775193798
ENSG00000036448	30995.0775193798
ENSG00000036530	14040.3700787402
ENSG00000036549	30960.7480314961
ENSG00000036565	30955.6976744186
ENSG00000037042	25998.7596899225
ENSG00000037241	6387.7519379845
ENSG00000037280	25786.4186046512
ENSG00000037474	30995.0775193798
ENSG00000037637	30995.0775193798
ENSG00000037749	30990.59375
ENSG00000037757	30859.2857142857
ENSG00000037897	22857.359375
ENSG00000038002	30995.0775193798
ENSG00000038210	30681.8372093023
ENSG00000038219	24874.5426356589
ENSG00000038274	30782.7364341085
ENSG00000038358	30992.6953125
ENSG00000038382	30782.7364341085
ENSG00000038427	30995.0775193798
ENSG00000038532	25786.4186046512
ENSG00000038945	30778.265625
ENSG00000039068	30780.3671875
ENSG00000039123	14043.8217054264
ENSG00000039319	30953.3203125
ENSG00000039523	30992.6953125
ENSG00000039560	30995.0775193798
ENSG00000039600	29238.0546875
ENSG00000039650	30283.2380952381
ENSG00000039987	28938.2325581395
ENSG00000040199	30780.3671875
ENSG00000040275	25086.8837209302
ENSG00000040341	30990.59375
ENSG00000040487	30782.7364341085
ENSG00000040531	30989.6953125
ENSG00000040608	30995.0775193798
ENSG00000040633	30989.6953125
ENSG00000040933	30990.59375
ENSG00000041353	30603.1111111111
ENSG00000041357	30953.7890625
ENSG00000041515	25994.890625
ENSG00000041802	25998.7596899225
ENSG00000041880	25776.8346456693
ENSG00000041982	28723.6124031008
ENSG00000041988	14043.8217054264
ENSG00000042062	30337.3125
ENSG00000042088	30995.0775193798
ENSG00000042286	30995.0775193798
ENSG00000042317	30461.5581395349
ENSG00000042429	25520.6511627907
ENSG00000042445	14043.8217054264
ENSG00000042493	14043.8217054264
ENSG00000042753	31032.2380952381
ENSG00000042832	30782.7364341085
ENSG00000042980	30995.0775193798
ENSG00000043093	14042.109375
ENSG00000043143	25998.7596899225
ENSG00000043462	30782.7364341085
ENSG00000043514	30995.0775193798
ENSG00000043591	25993.9921875
ENSG00000044090	30995.0775193798
ENSG00000044115	30955.6976744186
ENSG00000044446	9047.50387596899
ENSG00000044459	30989.6953125
ENSG00000044574	30989.703125
ENSG00000046604	24608.7751937985
ENSG00000046647	14043.8217054264
ENSG00000046651	9047.50387596899
ENSG00000046653	9047.50387596899
ENSG00000047056	30782.7364341085
ENSG00000047188	30995.0775193798
ENSG00000047230	9047.50387596899
ENSG00000047249	30995.0775193798
ENSG00000047315	14043.8217054264
ENSG00000047346	25047.503875969
ENSG00000047365	25732.992248062
ENSG00000047410	30995.0775193798
ENSG00000047457	28550.6511627907
ENSG00000047578	26032.2698412698
ENSG00000047579	30782.7364341085
ENSG00000047597	9047.50387596899
ENSG00000047617	23043.359375
ENSG00000047621	30778.28125
ENSG00000047634	9047.50387596899
ENSG00000047644	9047.50387596899
ENSG00000047648	9047.50387596899
ENSG00000047662	19683.5736434109
ENSG00000047849	30235.2283464567
ENSG00000047932	30995.0775193798
ENSG00000048028	30990.59375
ENSG00000048052	30995.0775193798
ENSG00000048140	30782.7364341085
ENSG00000048162	25998.7596899225
ENSG00000048342	25786.4186046512
ENSG00000048392	30743.3565891473
ENSG00000048405	30995.0775193798
ENSG00000048462	30995.0775193798
ENSG00000048471	25619.0
ENSG00000048544	14043.8217054264
ENSG00000048649	30615.3178294574
ENSG00000048707	30615.3178294574
ENSG00000048740	30995.0775193798
ENSG00000048828	30029.9296875
ENSG00000048991	30955.6976744186
ENSG00000049089	30995.0775193798
ENSG00000049167	30995.0775193798
ENSG00000049192	30995.0775193798
ENSG00000049239	30955.6976744186
ENSG00000049245	30995.0775193798
ENSG00000049246	30743.3565891473
ENSG00000049247	25959.3798449612
ENSG00000049249	30995.0775193798
ENSG00000049323	30995.0775193798
ENSG00000049449	27954.3984375
ENSG00000049541	31020.4682539683
ENSG00000049618	30827.6589147287
ENSG00000049656	30995.0775193798
ENSG00000049759	31048.9274193548
ENSG00000049768	9047.50387596899
ENSG00000049769	9047.50387596899
ENSG00000049860	9046.40625
ENSG00000049883	30031.3671875
ENSG00000050030	9047.50387596899
ENSG00000050130	30995.0775193798
ENSG00000050165	30990.2755905512
ENSG00000050327	30995.0775193798
ENSG00000050344	14043.8217054264
ENSG00000050393	25619.0
ENSG00000050405	30992.703125
ENSG00000050426	30775.8503937008
ENSG00000050438	30988.1653543307
ENSG00000050555	30716.703125
ENSG00000050628	30772.8188976378
ENSG00000050730	30995.0775193798
ENSG00000050748	30743.3565891473
ENSG00000050767	14043.8217054264
ENSG00000050820	30182.8682170543
ENSG00000051009	30992.6953125
ENSG00000051108	30992.6953125
ENSG00000051128	31069.76
ENSG00000051180	30782.7364341085
ENSG00000051341	25249.7596899225
ENSG00000051382	30984.2283464567
ENSG00000051523	14043.8217054264
ENSG00000051596	6387.7519379845
ENSG00000051620	30995.0775193798
ENSG00000051825	14042.109375
ENSG00000052126	30782.7364341085
ENSG00000052344	28788.5555555556
ENSG00000052723	30995.0775193798
ENSG00000052749	30995.0775193798
ENSG00000052795	30615.3178294574
ENSG00000052802	25086.8837209302
ENSG00000052841	14040.3700787402
ENSG00000053108	30782.7364341085
ENSG00000053254	30955.6976744186
ENSG00000053371	30995.0775193798
ENSG00000053372	30995.0775193798
ENSG00000053438	30487.0775193798
ENSG00000053501	14077.408
ENSG00000053524	25782.5625
ENSG00000053702	25486.90625
ENSG00000053770	24874.5426356589
ENSG00000053900	30995.0775193798
ENSG00000053918	30827.6589147287
ENSG00000054116	30995.0775193798
ENSG00000054118	28335.3255813953
ENSG00000054148	30995.0775193798
ENSG00000054179	30995.0775193798
ENSG00000054219	25994.65625
ENSG00000054267	30995.0775193798
ENSG00000054277	23339.007751938
ENSG00000054282	14043.8217054264
ENSG00000054356	30995.0775193798
ENSG00000054392	30995.0775193798
ENSG00000054523	30995.0775193798
ENSG00000054611	25520.6511627907
ENSG00000054654	30782.7364341085
ENSG00000054690	25100.7286821705
ENSG00000054793	25781.6640625
ENSG00000054965	30615.3178294574
ENSG00000054967	30995.0775193798
ENSG00000054983	30995.0775193798
ENSG00000055044	30989.6953125
ENSG00000055070	30083.2015503876
ENSG00000055118	30992.6953125
ENSG00000055130	30992.6953125
ENSG00000055147	30990.59375
ENSG00000055163	30990.59375
ENSG00000055208	30995.0775193798
ENSG00000055211	24874.5426356589
ENSG00000055332	30995.0775193798
ENSG00000055483	30822.640625
ENSG00000055609	30992.6953125
ENSG00000055732	30782.7364341085
ENSG00000055813	24056.9921259843
ENSG00000055917	30781.265625
ENSG00000055950	30782.7364341085
ENSG00000055955	25989.1496062992
ENSG00000055957	30984.2283464567
ENSG00000056050	6387.7519379845
ENSG00000056097	29972.2170542636
ENSG00000056277	9047.50387596899
ENSG00000056558	30955.6976744186
ENSG00000056586	30989.703125
ENSG00000056661	29870.8604651163
ENSG00000056736	30984.2283464567
ENSG00000056972	30990.59375
ENSG00000057019	30033.7364341085
ENSG00000057252	30992.6953125
ENSG00000057294	30995.0775193798
ENSG00000057468	29459.0476190476
ENSG00000057593	28546.3359375
ENSG00000057608	14043.8217054264
ENSG00000057657	30990.59375
ENSG00000057663	30778.265625
ENSG00000057704	30995.0775193798
ENSG00000057757	25086.8837209302
ENSG00000057935	30987.2519685039
ENSG00000058056	25520.6511627907
ENSG00000058063	30778.265625
ENSG00000058091	30782.7364341085
ENSG00000058262	30782.7364341085
ENSG00000058272	30246.0775193798
ENSG00000058335	30993.1640625
ENSG00000058453	30995.0775193798
ENSG00000058600	25519.2734375
ENSG00000058668	30777.3671875
ENSG00000058673	11383.1953125
ENSG00000058729	30990.59375
ENSG00000058799	30953.3203125
ENSG00000058804	25996.9921875
ENSG00000058866	30990.59375
ENSG00000059122	31023.1796875
ENSG00000059145	31023.1796875
ENSG00000059377	30782.7364341085
ENSG00000059378	30995.0775193798
ENSG00000059573	30033.7364341085
ENSG00000059588	30995.0775193798
ENSG00000059691	24337.8837209302
ENSG00000059728	30782.7364341085
ENSG00000059758	30721.2170542636
ENSG00000059769	30993.59375
ENSG00000059804	28335.3255813953
ENSG00000059915	30782.7364341085
ENSG00000060069	30995.0775193798
ENSG00000060138	25998.7596899225
ENSG00000060140	30955.6976744186
ENSG00000060237	30990.609375
ENSG00000060339	30743.3565891473
ENSG00000060491	30995.0775193798
ENSG00000060558	31068.109375
ENSG00000060566	30795.109375
ENSG00000060642	30995.0775193798
ENSG00000060656	30508.8759689922
ENSG00000060688	25520.6511627907
ENSG00000060709	30782.7364341085
ENSG00000060749	30782.7364341085
ENSG00000060762	24870.7421875
ENSG00000060971	14043.8217054264
ENSG00000060982	30995.0775193798
ENSG00000061273	30992.703125
ENSG00000061337	30995.0775193798
ENSG00000061656	30370.9069767442
ENSG00000061676	30777.3671875
ENSG00000061794	30782.7364341085
ENSG00000061918	30995.0775193798
ENSG00000061936	25998.7596899225
ENSG00000061938	25998.7596899225
ENSG00000061987	30508.8759689922
ENSG00000062194	30955.6976744186
ENSG00000062282	30995.0775193798
ENSG00000062370	30120.5317460317
ENSG00000062485	30990.59375
ENSG00000062524	30995.0775193798
ENSG00000062582	30990.359375
ENSG00000062598	30782.7364341085
ENSG00000062650	30782.7364341085
ENSG00000062716	24874.5426356589
ENSG00000062725	30782.7364341085
ENSG00000062822	14083.968503937
ENSG00000063015	29674.8682170543
ENSG00000063046	11382.3070866142
ENSG00000063127	31032.2380952381
ENSG00000063169	31032.2380952381
ENSG00000063176	31032.2380952381
ENSG00000063177	14082.5476190476
ENSG00000063180	14082.5476190476
ENSG00000063241	30995.0775193798
ENSG00000063244	30782.7364341085
ENSG00000063245	30995.0775193798
ENSG00000063322	30995.0775193798
ENSG00000063438	30246.0775193798
ENSG00000063587	9047.50387596899
ENSG00000063601	9047.50387596899
ENSG00000063660	30995.0775193798
ENSG00000063761	30990.15625
ENSG00000063854	30810.8515625
ENSG00000063978	28167.9069767442
ENSG00000064012	30777.3671875
ENSG00000064042	29868.546875
ENSG00000064102	24707.1240310078
ENSG00000064115	30995.0775193798
ENSG00000064199	30995.0775193798
ENSG00000064201	30033.7364341085
ENSG00000064225	30995.0775193798
ENSG00000064270	25998.7596899225
ENSG00000064300	30995.0775193798
ENSG00000064309	30990.59375
ENSG00000064313	30990.59375
ENSG00000064393	30615.3178294574
ENSG00000064419	30782.7364341085
ENSG00000064489	6478.968
ENSG00000064490	31069.76
ENSG00000064545	31069.76
ENSG00000064547	31069.76
ENSG00000064601	30995.0775193798
ENSG00000064607	26035.36
ENSG00000064651	30950.3203125
ENSG00000064652	30950.3203125
ENSG00000064655	29970.5271317829
ENSG00000064666	31068.109375
ENSG00000064687	30855.78125
ENSG00000064703	31000.0
ENSG00000064726	30993.1640625
ENSG00000064763	25037.4186046512
ENSG00000064787	19264.7265625
ENSG00000064886	30251.0
ENSG00000064932	31068.109375
ENSG00000064933	14043.8217054264
ENSG00000064961	30855.78125
ENSG00000064989	30995.0775193798
ENSG00000064995	30244.6456692913
ENSG00000064999	30993.6456692913
ENSG00000065000	30855.78125
ENSG00000065029	30993.6456692913
ENSG00000065054	31023.1796875
ENSG00000065057	30810.8515625
ENSG00000065060	25519.4330708661
ENSG00000065135	31000.0
ENSG00000065150	30990.59375
ENSG00000065154	30950.3203125
ENSG00000065183	30995.0775193798
ENSG00000065243	30995.0775193798
ENSG00000065268	31068.109375
ENSG00000065308	30992.6953125
ENSG00000065320	29478.21875
ENSG00000065328	30782.7364341085
ENSG00000065357	30241.59375
ENSG00000065361	30990.59375
ENSG00000065413	30950.3203125
ENSG00000065427	25998.7596899225
ENSG00000065457	30995.0775193798
ENSG00000065485	14043.8217054264
ENSG00000065491	30780.3671875
ENSG00000065518	25619.0
ENSG00000065526	30995.0775193798
ENSG00000065534	30995.0775193798
ENSG00000065548	30033.7364341085
ENSG00000065559	14043.8217054264
ENSG00000065600	25520.6511627907
ENSG00000065613	30955.6976744186
ENSG00000065615	30995.0775193798
ENSG00000065618	30995.0775193798
ENSG00000065621	30721.2170542636
ENSG00000065665	30995.0775193798
ENSG00000065675	30995.0775193798
ENSG00000065717	30855.78125
ENSG00000065802	30782.7364341085
ENSG00000065809	30246.0775193798
ENSG00000065833	30995.0775193798
ENSG00000065882	30721.2170542636
ENSG00000065883	30778.03125
ENSG00000065911	30782.7364341085
ENSG00000065923	9047.50387596899
ENSG00000065970	30995.0775193798
ENSG00000065978	6387.4921875
ENSG00000065989	30995.0775193798
ENSG00000066027	30995.0775193798
ENSG00000066032	24974.2093023256
ENSG00000066044	30106.78125
ENSG00000066056	30989.6953125
